FactoryName,Address,District,Division,PostCode,PhoneCityCode,Phone,PhoneExtension,Buildings,Stories,factoryMultiPurpose,factoryMultiFactory,floors,workers,activeMembers
A.T.S. Apparels Limited,"414, Kochakuri, Talirchala,, Mouchak",Gazipur,Dhaka,,,1713042568,,6,1/7;2/1;3/1;4/1;5/1;6/1;,No,No,1/7;2/1;3/1;4/1;5/ 1;6/1;,2250,5
ABA Fashions Ltd.,"Sena Kalyan Commercial Complex (2nd Floor), Plot # 9, Block # F, Tongi, Gazipur",Gazipur,Dhaka,1710,2,9801393,,1,9;,Yes,Yes,Ground : Market 1st floor Private Bank 2nd floor : Aba Group + Child Care 3rd to 8th floor : garment maker (ABA factories+ Giant Group),1033,1
Ababil Knit Composite Ltd,"A/6,BSCIC,Shansongaon",Narayanganj,Dhaka,,,,,3,1/5; 2/3; 3/2;,No,No,‐,1234,1
ABANTI COLOUR TEX LTD,"Shashongaon, Plot No‐ S, A‐646, Enayetnagar, Fatullah",Narayanganj,Dhaka,1400,2,7672526,,6,1/10; 2/10; 3/6; 4/2; 5/1; 6/1;,No,No,,6000,5
ABC Garment Ltd.,"26 Mirpur Road, Dhaka",Dhaka,Dhaka,1205,,1711782525,,,,No,No,,550,1
Abir Fashions Ltd,"Plot # 44, Road # 02, Kutubail, Fatullah, Narayangonj",Narayanganj,Dhaka,,2,7672782,,3,1/7; 2/1/; 3/1;,No,No,"1/0,1,2,3,4,5,6; 2/0; 3/0;",1030,1
ABLOOM DESIGN LIMITED,"37, South Shastapur, Upazila Road, Fatullah, Narayanganj",Narayanganj,Dhaka,1420,2,7630177,,1,1/8;,No,No,NA,550,1
ABM FASHION LTD,"380/6‐1 EAST RAMPURA, TV AVENUE, DHAKA",DHAKA,Dhaka,1219,2,9333144,,,"1/6,",No,No,Not Shared,1000,1
ABONI FASHIONS LTD,"23‐24, UNION TATULJHORA, HEMAYETPUR",Dhaka,Dhaka,1340,2,7743280,,2,1/7;2/3;,No,No,‐,2038,1
Aboni Knitwear,"169‐171, Tatulzhora Hemayetpur",Dhaka,Dhaka,,,,,,,No,No,,,5
Accede International,"House # 416, Road # 30, Mohakhali D.O.H.S, Dhaka",Dhaka,Dhaka,1206,,,,,,No,No,,,1
ACS Textiles (Bangladesh) Ltd.,"Tetlabo, Parabo, Rupganj, Narayanganj",Narayanganj,Dhaka,1460,2,7449593,,10,"1/2, 2/3, 3/1, 4/3, 5/2, 6/3, 7/2, 8/2, 9/3, 10/1;",No,No,No,3566,6
ACS Towel Ltd,"Tetlabu,Rupgonj,Narayangonj",Narayanganj,Dhaka,1464,,1712201556,,1,1/3;,No,No,,500,1
Active Composite Mills Limited,"Dewan Idris Road, Zirabo, Ashulia, Savar,",Dhaka,Dhaka,1341,2,82251877,,1,1/6;,No,No,‐,1008,3
ACTOR SPORTING LTD.,"PLOT NO#33‐35 DEPZ. GANAKBARI, SAVAR",Dhaka,Dhaka,1349,2,7789086,,,"1/4,",No,No,,1085,2
Adhunik Poshak Shilpa Limited,"CIVIL ENGINEERS TOWER AVENUE 1,, INDUSTRIAL PLOT‐1, BLOCK E, SECTION 11, MIRPUR, DHAKA",Dhaka,Dhaka,1216,2,8010120,,,1/19;,Yes,Yes,"1/14, 12 ,11,10, 8;",1430,1
Adila Apparels,"Eshak Shopping Complex,212 Baizid Bostami,, Chittagong",Chittagong,Chittagong,4210,31,2581258,,1,1/7;,Yes,Yes,1/1;,550,1
Adity Knitwear Ltd.,"Borabo, Mouchak, Kaliakoir, Gazipur, Dhaka",Gazipur,Dhaka,,2,9004990,,,,No,No,,,1
Adorn Knitwear Ltd.,"42, Chowransh Super Market (4th Floor), Savar Bazar, Savar",Dhaka,Dhaka,,2,7742945,,,,No,No,,,1
Adury Apparels Ltd.,"Karardi, P.O‐ Karardi High School, P.S‐ Shibpur, Dist‐ Narsingdi",Dhaka,Dhaka,1600,2,9333274,,1,1/6;,No,No,,2060,1
Advance Sweater Ind. Ltd.,"70/3, Chandana, Joydebpur,Gazipur",Gazipur,Dhaka,1700,2,9262441,,,1/4;,No,No,,1000,1
Advance World Ltd,"Lalkha Shiar Char, Fatullah, Narayanhanj,",Dhaka,Dhaka,1400,2,7671073,,3,1/5; 2/2; 3/1;,No,No,‐,436,2
AFCO ABEDIN GARMENTS,"holding no.79,block L,6th floor,chairman bari,banani.",Dhaka,Dhaka,,2,8824061,,1,1/8;,Yes,Yes,1/6;,280,1
Ahsan Composite Ltd.,"Ward ‐ 7, Holding ‐ 99, Block ‐ D, Chandra, Kaliakoir",Gazipur,Dhaka,,2,9348808,,,,No,No,,,1
Ajax Sweater Limited,"Zirabo bazar, Ashulia EPZ road",Dhaka,Dhaka,1230,,1753964427,,1,1/5;,No,No,,600,3
AKH Apparels Ltd,"128 Hemayetpur, Savar,",Dhaka,Dhaka,1340,2,7452133,,6,1/10; 2/7; 3/1; 4/1; 5/1; 6/1,No,No,‐,1200,4
AKH FASHIONS LIMITED,"14, Gedda,, Karnapara,",Dhaka,Dhaka,,,,,,,No,No,,,1
AKH FASHIONS LTD,"133‐134 Hemayetpur, Savar",Dhaka,Dhaka,,2,7741830,,4,1/10; 2/1; 3/1; 4/1;,No,Yes,1/4;,1207,10
AKH KNITTING & DYEING LTD.,"92 PHULBARIA, TETULJHORA, SAVAR",Dhaka,Dhaka,1347,,1715260698,,7,1/7; 2/7; 3/3; 4/3; 5/1; 6/1; 7/1;,No,No,,5000,11
AKH Shirts Ltd. (Unit 3),"133‐134 Hemayetpur, Savar",Dhaka,Dhaka,1340,2,7744001,,8 2,"1/10 , 1/1;",No,Yes,"1/10 ,1/1;",1700,3
AKH Stitch Art LTD,"Chandanpur, Rajfulbaria, Hemayetpur, Savar",Dhaka,Dhaka,,,1716322781,,,,No,No,,,1
AKH Stitch Art Ltd.,Tatul Jhora,Dhaka,Dhaka,1340,,1713013039,,,"1/5,",No,No,,0,1
Al Islam Textile Industry Ltd.,"9 Karnapara, Savar",Dhaka,Dhaka,1347,2,1730021222,,2,1/4;,No,No,N/A,2500,2
Alamode Apparels Ltd.,"12/13 BSCIC I/A, Kalurghat, Chandgaon Chittagong, Bangladesh.",Chittagong,Chittagong,4233,31,2520062,,,1/3;,No,No,,,1
Alaudin Garments Ltd.,"88, Kazi Nazrul Islam Avenue, Tajgaon, Dhaka‐ 1215",Dhaka,Dhaka,,2,9130009,,1,5;,Yes,No,"1/0,1,2;",550,1
Aleaya Sweater Ltd.,"Dhour, Dhaka Ashulia, DEPZ Road, Turag, Uttara Dhaka",,Dhaka,,,1711394757,,,,No,No,,,1
Alema Textiles Ltd,"Vogra,Bashan Sarak,Gazipur",Gazipur,Dhaka,1704,2,9292742,,4 2,"1/8, 2/2",No,No,,1600,5
Alfa Patterns (Bangladesh)Ltd.,"Plot# 58, Depz, Ganakbari, Savar",Dhaka,Dhaka,1349,2,7788260,,1,1/6;,No,No,,474,1
Alfa Textiles Ltd.,"49 NP, Kalurghat Heavy Industrial Area,, Kalurghat, Chittagong, Bangladesh,",Chittagong,Chittagong,4212,31,672244,,50 1,1/7;,No,Yes,,1578,1
Ali Apparels Ltd.,"Kutubail, Katherpool, Fatullah, Narayanganj",Narayanganj,Dhaka,1400,,1711534056,,,1/6;,No,No,"1/3,4,5;",250,1
Alif Apparels Ltd.,"23/8 B&C, Holding #24/2, Khilje Road, Shyamoli Cinema Complex Building (2nd Floor)",Dhaka,Dhaka,,,1817123442,,,,No,No,,,1
ALIF GARMENTS LIMITED,"Science Laboratory Road,Dhanmondi,Dhaka",DHAKA,Dhaka,1205,2,8614656,,,"1/6,",Yes,No,"1/1,2,3,4,5,6;",575,1
Alif Garments Ltd.,"21/22, Babar Road, Block‐B, Mohammadpur",Dhaka,Dhaka,,,1817123442,,,,No,No,,,2
Alif Textiles Ltd.,"21/22 Babar Road,Block‐B, Mohammadpur",Dhaka,Dhaka,,,1199810127,,,,No,No,,,1
AL‐ISLAM TEXTILES LTD,"9 Karnopara, Savar, Dhaka",Dhaka,Dhaka,1340,2,8131234,,,"1/3,",No,No,Not Shared,2450,1
ALL WEATHER FASHIONS LTD,"52, shahid tajuddin ahmed sharoni, mohakhali dhaka",DHAKA,Dhaka,1213,2,8812176,,2,1/9;2/4;,Yes,Yes,"1/ 7,8,9; 2/4;",880,1
Alliance Stitches Ltd.,"SFB # 4 (1st & 2nd Floor), DEPZ, Ganakbari, Savar Dhaka",,Dhaka,,2,77021867,,2,1/3;2/3;,No,Yes,2/1;,950,1
ALLTEX INDUSTRIES LTD,"Rupganj,, Narayanganj,",Narayanganj,Dhaka,,,,,,,No,No,,,1
Alpha Knit App.Ltd.,"Sayed Ali Mansion, North Gazir Chat, Ashulia, Dhaka",Dhaka,Dhaka,,2,9014341,,1,7;,No,Yes,"1/2,3;",550,1
Alpha Knitting Wear Limited,"888 Shewrapara, 1st & 2nd floor Begum Rokeya Shoroni, Mirpur,",Dhaka,Dhaka,1216,2,7452133,,202 1,1/8;,No,No,‐,667,2
Alps Apparels LTD/KNIT TOP&BOTTOM,"ALPS APPARELS LTD., 11/B EXTENSION PALLABI, MIRPUR, DHAKA",Dhaka,Dhaka,1216,,1811483477,,,,No,No,,500,1
AMA Syntex Ltd,"PLOT NO: 936 TO 939, VILL: JARUN, P.O: KASHIMPUR, P.S : JOYDEBPUR, DIST : GAJIPUR",Gazipur,Dhaka,,2,9298462,,4,1/0; 2/0; 3/0; 4/0;,No,No,,900,1
AMAN FASHIONS & DESIGNS LTD,"Nalam,, Mirzanagar,, Asulia, Savar",Dhaka,Dhaka,,,,,,,No,No,,,1
Aman Graphics & Designs Ltd.,"Nazimnagar, Hemayetpur, Savar, Dhaka",Dhaka,Dhaka,1340,,1713013536,,,"1/2, 2/3, 3/4;",No,No,n/a,1190,4
Aman Knitting,"Najim Nagor, Singair Road, Hameyetpur, Saver Dhaka",DHAKA,Dhaka,,2,27741427,,3,1/3;2/4;3/2;,No,No,‐,816,2
Aman Knittings Limited,"Kulasur, Hemayetpur",DHAKA,Dhaka,,2,7741427,,1,1/6;,No,No,All,2697,3
Aman Sweaters Ltd,"Rajaghat, Rajfulbaria, Savar, Dhaka",DHAKA,Dhaka,1347,,1713013536,,2,"1/5, 2/2;",No,No,,992,2
Aman Tex Limited,"Boiragirchala, Sreepur",Gazipur,Dhaka,1740,6,82552790,,6,"1/7; 2/4, 3/2, 4/1; 5/1; 6/1;",No,No,,3400,7
Amazing Fashion Ltd,"Plot‐10,Dagerchala, Gazipur.",Gazipur,Dhaka,1704,2,9293658,,1,"1/6,",Yes,Yes,"1/4,",900,2
Amazon Tex Knit Fashion Ltd,"Jobeda Plaza, 85 AC Dhar Road Kalirbazar",Narayanganj,Dhaka,,,,,,,No,No,,,1
Ambia Apparels Ltd.,"07, Agrabad C / A",Chittagong,Chittagong,,31,1671696761,,,,No,No,,,1
AMCO FASHINS LTD,"Plot 2/A, Darus Salam Road, Mirpur‐1, Dhaka",Dhaka,Dhaka,1216,2,9348147,,,"1/9,",Yes,Yes,"1/0,1,2,3;",1100,1
Amena (Pvt.) Ltd.,"Abdul Latif Market, Ahalia, Section #5, Road 91c, Sec‐05, Uttara",Dhaka,Dhaka,,2,8914606,,,,No,No,,,1
Amex Knitting & Dyeing Industries Ltd.,"Unit ‐ 2 (Garments Division), Sufia Plaza, 327/3/B, South Jattrabari, Dhaka",Dhaka,Dhaka,1204,2,7552420,,,,No,No,,1003,1
Amichi Apparels Ltd.,"122‐123,Darus Salam, Mirpur Road,",Dhaka,Dhaka,,2,9006239,,1,1/7.,No,Yes,"1/3, 4, 7;",550,1
Amir Sweater & Apparels Ltd.,"Amir Sweater & Apparels Ltd., Satter Bhaban, Bogabari Bazar,Baipail, Ashulia, Savar",Dhaka,Dhaka,,2,7788835,,1,5;,No,No,,350,1
Amity design ltd.,"H‐7 & 9, R‐9, Block D, Mirpur‐11, Dhaka",Dhaka,Dhaka,1216,,1711520155,,,1/6;,No,No,"1/1,2,3,4,5,6;",550,3
Amity Sweaters Ltd.,"209, Choydana, Hajirpukur",Gazipur,Dhaka,1704,2,9293203,,,1/6; 2/3; 3/1;,No,No,,1000,1
Amotex Ltd.,"Kundolbag, Pukurpar, Yearpur, Zirabo",Dhaka,Dhaka,,2,7792373,,,,No,No,,,1
Ltd.,"34,Choydana, National University.Gazipur",Gazipur,Dhaka,1704,,1713005833,,,,No,No,,,2
AMS Knitwear Ltd.,"B/(468,469), Road #1, BSCIC, Shasongaon, Fatullah, Narayanganj, Dhaka",Narayanganj,Dhaka,1400,,1711534056,,,1/5;,No,No,"1/1,2,3,4;",185,1
Anam Garments Ltd,"Plot: 66, Road: 04, Block:C, Section:12, Pollobi, Mirpur, Dhaka",Dhaka,Dhaka,,2,9003329,,1,1/6;,No,No,,322,1
Anan Socks Ltd.,"Mulaid, Mawna, Sreepur,",Gazipur,Dhaka,,2,9801937,,1,1/1;,No,No,Single shed,100,1
"Ananta Apparels Ltd .136 Elephant Road, Ananta Plaza",,Dhaka,Dhaka,,2,8622203,,1,1/14;,Yes,No,1/1;,3500,2
Ananta Casual Wear Ltd.,"Konia, Targasa, KB Bazar Gazipur",Gazipur,Dhaka,,,1714023738,,2,1/6; 2/1;,No,No,,3219,4
Ananta Denim,"Nayabari khancpur Sunargaon, Naryanagong",Narayanganj,Dhaka,,,1714023738,,3,1/3; 2/1; 3/6;,No,No,,1378,1
ANANTA GARMENTS LTD,"Nischintapur, Ashulia, DEPZ Road, Savar",Dhaka,Dhaka,,2,8913008,,12,1/9;2/1;3/1;4/1;5/1;6/1;7/1;8/1;9 /1;10/1;11/1;12/1;,No,No,,5500,7
Ananta Huaxiang Ltd.,"Plot # 222‐223, H2, H3, H4 Adamjee EPZ",Narayanganj,Dhaka,1431,,1611456770,,2,1/2; 1/1;,No,No,,1300,2
Ananta Jeans wear Ltd.,"134/123 Kabi Jashim Uddin Road, Pagar, Tongi",Gazipur,Dhaka,,2,8912962,,3,"1/5,1/1,1/1;",No,No,,2050,5
Angshuk Ltd.,"133‐134 Hemayetpur, Savar, Dhaka",Dhaka,Dhaka,1340,2,7744001,,,,No,No,,,2
Anik composite mills ltd.,"Vill:Balaisa, Po: Vhulta,Thana:Rupgong",Narayanganj,Dhaka,1400,2,9567987,,3,1/5; 2/3; 3/2;,No,No,,280,1
Anika Garments (Pvt.) Ltd.,"Plot no. 1/1,Gha part, Secton‐2, Mirpur, Dhaka",Dhaka,Dhaka,1216,2,8822775,,1,9;,No,Yes,"1/4,5,6,7;",500,2
Anlima Textile Limited,"Karnapara, Savar",Dhaka,Dhaka,,2,7745009,,2,1/7;2/1;,No,No,All,1800,1
Annesha Group Of Co. Ltd.,"Khejurbagan, Boro Asulia, Savar, Bangladesh",Dhaka,Dhaka,1341,2,27742867,,1,1/4;,No,No,No,950,1
Annesha Style Limited,"Khejurbagan, Ashulia, Savar, Dhaka",Dhaka,Dhaka,,2,7742867,,,"Building 1 ‐ 4 Storied, Building 2 ‐ 2 Storied",No,No,,953,4
Anowara Fashions Ltd,"BSCIC, Khalurghat, Chittagong, Bangladesh,",Chittagong,Chittagong,3343,31,670365,,342 1,1/6;,No,Yes,1/6;,1067,1
Anowara Knit Composite Ltd.,"Mulayed, Maona, Sreepur, Gazipur",Gazipur,Dhaka,1740,2,682552693,,1,1/6;,No,No,N/A,1449,1
Antim Knit Composite LTD,"Barpa, Rupgonj, Narayanganj",Narayanganj,Dhaka,1464,2,7450248,,,,No,No,,,1
Antim Knitting Dyeing & Finishing Ltd.,"Barpa, Rupshi, Rupgoni",Narayanganj,Dhaka,,,1678039911,,1,1/7;,No,No,,4344,1
ANUPAM HOSIERY INDUSTRY (PVT.) LTD.,"VULTA, RUPGONJ",Narayanganj,Dhaka,,2,9336501,,4,"1/9,2/3, 1/1, 1/1;",No,No,,2200,4
Anupom Fashion Wear Ltd.,"Tamanna Complex (3rd floor), C.B‐288, Kachukhet, Puran Bazar,Dhaka Cantt. Dhaka",Dhaka,Dhaka,1206,,155198715830,,1,1/6;,Yes,Yes,"1/2,4;",650,2
Anzir apparels ltd ( unite 2),"Somsher plaza epz gate ganakbari ,savar, Dhaka DHAKA",,Dhaka,1349,2,7701531,,2,1/5; 2/5;,Yes,No,"1/1,2,3,4; 2/2,3,4;",4500,3
A‐One BD,"Plot # 114‐120, DEPZ, Ganakbari, Ashulia, Dhaka Dhaka",,Dhaka,,2,7789130,,2,"1/0; 1/1, 2/1, 2/2",No,No,,1400,4
A‐One Polar Limited,"Vulta, Rupgonj",Narayanganj,Dhaka,1460,,1730000195,,8,1/3; 2/2; 3/1; 4/1; 5/1; 6/1; 7/1; 8/3;,No,No,,1700,2
Apex Adelchi footwear Limited.,"Shafipur,, Chandra, Kalliakoir,",Gazipur,Dhaka,1751,2,51167,,21,1/1; 2/2; 3/1;4/1;5/1;6/17/1;8/1;9/1;10/1; 11/1;12/113/1;14/1;15/1;16/1;17 /1;18/2;19/1; 20/6;21/1;,No,No,N/A,4501,4
Apex Knit composite Ltd.,"GILARCHALA, SREEPUR",Gazipur,Dhaka,1740,,1715818112,,3,1/4;2/0;3/0;,No,Yes,"1/3, 4;1/0;1/0;",490,1
Apex Lingerie Ltd.,"Chandora, Kaliakoir",Gazipur,Dhaka,1751,,51204,,14,"1/6; 2/7; 3/5; 4/7; 5/1; 6/1; 7/1; 8/1; 9/1, 10/1; 11/1; 12/1; 13/1; 14/1;",No,No,,4000,4
Apex Spinning & Knitting Mills,"Chandora, Kaliakoir",Gazipur,Dhaka,1750,6,82251204,,8,1/5; 2/1; 3/1; 4/1; 5/1; 6/1; 7/1; 8/1;,No,No,,4300,1
Apex Textile Printing Mills,"Chandora, Post Shafipur, Thana, Kailakoir District Gazipur",,Dhaka,,6,82251204,,9,1/7; 2/1; 3/1; 4/1; 5/1; 6/1; 7/1; 8/1; 9/1;,No,Yes,1/2;,5306,7
Apex Weaving & Finishing Mills Ltd,"East Chandora, Shafipur, Kaliakoir, Gazipur.",Gazipur,Dhaka,,2,9555363,,2,1/1; 2/2;,No,No,,800,1
Apex Weaving and Finishing Mills,"73 Motijheel Commercial Area, BD ‐ Dhaka",Dhaka,Dhaka,1000,,,,,,No,No,,,1
Apparel 21 Ltd. neue Unit (Lithe Group),"Shirir Chala, Bagher Bazer Gagipur Shadar, Gazipur",Gazipur,Dhaka,,,1711580703,,,,No,No,,,1
Apparel Bangla Sourcing ltd,"Talotia,Mirer bazar,Tongi",Gazipur,Dhaka,1710,2,9816891,,,"1/3,",No,No,,200,1
Apparel Concept Ltd.,"Tin Sarak, Laxmipura, East Chandana, Joydevpur, Gazipur.",Gazipur,Dhaka,1700,2,9261182,,1,1/5;,No,Yes,1/1;,1000,1
Apparel Gallery Ltd,"144,147,148 Narashinghpur, Ashulia, Savar, Dhaka",DHAKA,Dhaka,1341,2,7790871,,,1/9;,Yes,No,,8000,1
Apparel Today Ltd.,"Plot‐01, Road‐01, Turag Housing, Beribandh",,,,0,44786576,,,,No,No,,,4
APPAREL VILLAGE,"37, Khagan, Birulia, Savar, Dhaka",Dhaka,Dhaka,1340,,1713461947,,2,1/6 ; 1/3;,No,No,"1/1,2,3,4,5,6 ; 1/2,3;",2500,1
APS Apparels Ltd.,"Holding No.106, Ward‐ 5, Baitur Rahmat, Mosque Road, E‐Faidabad, Atipara, Dokhin Khan, Dhaka",Dhaka,Dhaka,1230,,1811456031,,1,7;,No,No,N/A,1400,3
APS Design Works Ltd.,"Holding No.106, Ward‐ 5, Baitur Rahmat, Mosque Road, E‐Faidabad, Atipara, Dokhin Khan, Dhaka",Dhaka,Dhaka,1230,,1811456031,,1,7;,No,No,N/A,1400,1
Aptech Designs Ltd,"Krishnachura Apt., flat#1‐D, House#40, Road#21,Block#B,Banani, Dhaka",Dhaka,Dhaka,1213,,1711564838,,,1/6;,Yes,Yes,1/1;,20,1
AR Knittwear ltd,"75, Fatullah Bazar",Narayanganj,Dhaka,,2,7671488,,1,1/4;,No,No,,300,2
ARA / Apparel Export Ltd.,"2/c Darussalum Road, Mirpur",Dhaka,Dhaka,,2,8054697,,2,1/6; 2/4;,No,Yes,1/5;,804,1
ARABI Fashion Ltd,"Bokran, Monipur, Mirzapur",Gazipur,Dhaka,1703,2,6830,,6,1/3; 2/5; 3/1; 4/1; 5/1; 6/1;,No,No,,1200,4
ARAFAT FASHION GARMENTS LIMITED,"3118/1, NAYA HAT ROAD, BIAZID",Chittagong,Chittagong,,671 31,2584680,,,"1/3,",No,No,Not Shared,415,1
AREFIN TEXTILE MILLS LIMITED.,"PLOT# 20‐24, BSCIC INDUSTRIAL AREA, PATIYA.",Chittagong,Chittagong,4370,31,556205,,,"1/7,",No,No,Not Shared,1400,1
Arion Dresses Limited,"Adhunik Chalk Super Market (3rd floor), Chalk bazar, Chittagong",Chittagong,Chittagong,4203,31,2853290,,,,No,No,,,1
Aristocrat Fashion(Pvt.)Ltd,"Anik Plaza(3rd&4th Floor),Plot#155, Road #01,Block‐A,Section‐12,Pallabi,Dhaka",Dhaka,Dhaka,1216,2,8050555,,1,1/11;,Yes,Yes,"1/3,4;",280,1
Arjon Fashions Ltd.,"55/1, S.M. Maleh Road, Tanbazar, Narayanganj",Narayanganj,Dhaka,,2,7644320,,2,"1/1, 7/9;",No,No,,190,1
Armana Fashions,"232‐234, Tejgaon Industrial Area",Dhaka,Dhaka,,,,,,,No,No,,,2
ARMOUR GARMENTS LTD,"97 D.I.T. ROAD, RAMPURA, DHAKA",Dhaka,Dhaka,1212,2,8311375,,1,"1/7,",Yes,No,All floors except Ground floor,900,1
AROUND STAR SWEATERS LTD.,"Hazi A. Azij Super Market,Bhulta,Rupgonj,Narayangonj",Narayanganj,Dhaka,,2,8414039,,41 1,5;,Yes,No,,1500,1
Arrival Fashion Limited,"Colomesshor, Board Bazar, Po:‐National University , P.S: Gazipur, Bangladesh, P.O.‐ National University, Gazipur,",Gazipur,Dhaka,,2,8878718,,112 3,1/6; 2/1; 3/1;,No,No,‐,1433,4
ARRIVAL FINISHING CENTER LTD,"Plot#10, Road #1, Block Kha, Section 6, Mirpur, Dhaka",Dhaka,Dhaka,1216,2,9010220,,1,1/6;,No,No,NA,450,1
Arrow Apparels Ltd,"248, Tatki, Jatramura, Rupgonj",Narayanganj,Dhaka,,2,7452133,,2,1/4; 1/1;,No,No,,1350,4
Arrow Jeans Ltd,"Musa Bhabon, Port Connecting Road, Saraj Para, Pahartoli, Chittagong.",Chittagong,Chittagong,4219,31,752534,,1,"1/6,",Yes,Yes,"1/6,",850,1
Artisan Ceramics Limited,"SHIRIRCHALA BHABANIPUR, GAZIPUR; DHAKA",Gazipur,Dhaka,,2,8963588,,5,1/3; 2/3; 3/3; 4/3; 5/3;,No,No,,684,1
ARTISTIC DESIGN LTD,"232‐233 Narashinghpur, Ashulia, Savar",Dhaka,Dhaka,,2,9289325,,7,"1/6, 2/1; 3/1; 4/1; 5/1; 6/1; 7/2; 8/1;",No,No,,3300,2
Arunima Apparels Ltd.,"Rising Complex, Plot# I/10, Block‐K, Rupnagar I/A, Section‐2",Dhaka,Dhaka,1216,2,9016738,,1,1/8;,No,No,,992,1
Arunima Sportswear Ltd,"Zirabo, Savar, Dhaka",Dhaka,Dhaka,,2,7793180,,,"Building 1 ‐ 9 Storied, Building 2 ‐ 3 Storied,",No,No,,3177,3
Arva Textiles Ltd,"6528 ,Madrasa road,North Ghazirchat, Ashulia, ‐, Dhaka",,Dhaka,,2,8922200,,2,1/6;2/2;,No,Yes,"1/6;0,1,2;2/2;",562,4
Aryan Knitwear,"65 Nayamati, Narayangonj",Narayanganj,Dhaka,1400,2,7641781,,1,5;,Yes,Yes,1/3;,250,1
Designs Ltd),"House # 48, Flat # C1 R # 7C, Sec # 09, Uttara Model Town, Dhaka",Dhaka,Dhaka,1230,,1715375849,,,1/6;,Yes,Yes,1/1;,20,1
Ashique Dress Design Ltd.,"43 CHALABON, ASHIQUE COMPLEX AZAMPUR, UTTARA",Dhaka,Dhaka,1230,2,8917795,,3,1/9; 2/1; 3/1;,No,No,,1100,4
Ashique Jeans Apparels Ltd.,"Ashique Complex, 43, Chalabon, Dhakkhinkhan, Uttara",Dhaka,Dhaka,,2,1926668288,,,,No,No,,511,1
Ashulia Apparels ltd,"Samad Mansions, Section:6, Block:kha, Road:01, Plot:14, Senpara Parbata, Mirpur, Dhaka",Dhaka,Dhaka,1216,,1817611005,,,1/6;,Yes,Yes,"1/3,4,5;",250,1
ASK HANDICRAFTS LTD,"House 14, Sector 12, Sonargaon Janapath Rd, Uttarahouse, Dhaka",Dhaka,Dhaka,1230,,1819240858,,,,No,No,,,1
Asrotex,"Dharmaganj, Enayet Nagar., Fatullah",Narayanganj,Dhaka,1400,,1714069992,,2,1/7;2/4;,No,Yes,"1/7;0,1,2,3,4,5,6;2 /4;1,2,3;",1875,5
"Asrotex Unit 2Batjuri, Natun Bazar, Sreepur, Gazipur, Dhaka",,Gazipur,Dhaka,1704,2,9289271,,3,1/6; 2/2; 2/2;,No,No,,1247,3
AST Knitwear Limited,"East Chandana, Plot no. 3/1, Joydevpur",Gazipur,Dhaka,1700,2,9262304,,2,1/7; 2/1;,No,No,,1100,3
ASTRAS GARMENTS LTD,"44/1, NEW ESKATON ROAD,, DHAKA",Dhaka,Dhaka,1000,2,9358284,,1,"1/7,",No,No,N/A,550,1
ASWAD COMPOSITE MILLS LTD. ( U‐2),"Kabirpur, Ashulia, Savar",Dhaka,Dhaka,1349,2,7788649,,4,1/6; 2/3; 3/4; 4/1;,No,No,,1900,6
