"V2","typ"
"Fashion Ltd Unit 4)","accord"
"CDF Design BD","accord"
"Centex Textile & Apparels Ltd.","accord"
"Chaity Composite Ltd.","accord"
"Chancellor Garments Ltd.","accord"
"Chantik Apparels Ltd.","accord"
"Chantik Garments Ltd.","accord"
"Cherry (Pvt) Ltd.","accord"
"CHERRY Brassiere","accord"
"CHERRY INTIMATE LTD.","accord"
"Cherry Knit Wear Ltd.","accord"
"CHITTAGONG ASIAN APPARELS LTD","accord"
"Chittagong Fashion","accord"
"CHITTAGONG FASHION WEAR LIMITED","accord"
"CHITTAGONG KNITWEAR PVT LTD","accord"
"CHOICE GARMENTS LIMITED","accord"
"Chong Won ARS sweater ltd","accord"
"Chowdhuy Fashion Wear Ltd.","accord"
"Chowdury Knitwears Ltd.","accord"
"Chunji Fashion Limited","accord"
"Chunji Knit ltd.","accord"
"CIDATEX APPAREL LIMITED","accord"
"CIVIC APPARELS LTD","accord"
"CLAMOON","accord"
"Classic Fashion Concept Ltd.","accord"
"Classic Fashions (formerly Classic Textiles)","accord"
"Classic Shirts Ltd.","accord"
"Claxton Apparels Textiles Ltd.","accord"
"CLEARTEX INDUSTRIES LIMITED","accord"
"Clifton Apparels","accord"
"CLIFTON TEXTILES & APPARELS LTD","accord"
"COAST TO COAST (PVT.) LTD.","accord"
"Coeval Textiles Ltd.","accord"
"Colour & Fashion","accord"
"Columbia Apparels Ltd","accord"
"Columbia Garments Ltd.","accord"
"COMBINED APPAREL LTD","accord"
"Comfit composite knit limited , unit‐2Amtola, Kathgora Bazar, Ashulia, Savar","accord"
"Comfit Composite Knit Ltd","accord"
"Comfit Composite Knit Ltd.( Unit‐3)","accord"
"Comfort Apparels (PVT) LTD.","accord"
"Common Threads Ltd ( C T L )","accord"
"Comptex Textiles Ltd","accord"
"Concept Knitting","accord"
"Concord Fashion Export Ltd.","accord"
"Concorde Garments Limited","accord"
"Confidence Knitwear Ltd.","accord"
"connect fashions ltd,","accord"
"Consumer Knitex Limited (CMT Bangladesh) Dhamsur,Bhaluka,Mymensingh","accord"
"CONTINENTAL APPARELS LIMITED","accord"
"CONTINENTAL GARMENTS IND. (PVT.) LTD. PLOT 8, WARD 2, BLOCK B, DEWAN IDRIS ROAD,","accord"
"Copper Co., Ltd","accord"
"Cordial Design LTD","accord"
"Cortz Apparels Limited","accord"
"Cortz Apparels Ltd.","accord"
"Cosmopolitan Industries PVT Ltd (Epic)","accord"
"COSMOS SWEATERS LTD.","accord"
"Cotton Club (BD) Ltd","accord"
"Cotton Dyeing & Finishing Mills Ltd.","accord"
"Cotton Field (BD) Limited","accord"
"Cotton Harvest LTD","accord"
"Cotton Sourcing (Pvt) Ltd","accord"
"Cotton Textile and Apparels Ltd.","accord"
"CPM composite knit pvt ltd","accord"
"Creative Apparels Ltd.","accord"
"Creative Woolwear","accord"
"CRESCENT FASHION AND DESIGN LIMITED","accord"
"CRONY GROUP ABANTI","accord"
"Crony Tex Sweater Ltd.","accord"
"CROSSLINE KNIT FABRICS LTD.","accord"
"Crossline Woven Garments Ltd. (unit 1)","accord"
"Crossline Woven Garments Ltd. (unit 2)","accord"
"Crown Fashion & Sweater Ind. Ltd.","accord"
"Crown Knitwear Ltd","accord"
"Crown Wears (Pvt.) Ltd.","accord"
"Crystal Composite Ltd","accord"
"CUTTING EDGE INDUSTRIES LTD.","accord"
"D&S PRETTY FASHIONS LTD","accord"
"D.S. Fashion Ltd.","accord"
"DADA DHAKA LTD.","accord"
"Daeyu Bangladesh LTD","accord"
"Dana Sweater Industries Ltd","accord"
"Day Apparels Ltd.","accord"
"Day Fashions Ltd.","accord"
"DAZZLING DRESSES LIMITED","accord"
"Debonair Limited","accord"
"Debonair Limited Unit‐2Plot # 356, Shorifpur, Ozarpara, National","accord"
"DEKKO APPARELS","accord"
"Dekko Apparels Ltd.","accord"
"Dekko Designs Ltd","accord"
"Dekko Fashions Ltd","accord"
"Dekko Garments Ltd.","accord"
"DEKKO KNITWEARS LTD.","accord"
"DEKKO KNITWEARS LTD. UNIT ‐ 2Plot # M / 2 ‐ 1, Road # 7, Section # 7, Mirpur I /","accord"
"Dekko Ready Wear Ltd.","accord"
"Delicate Garments LTD.","accord"
"Delicate Knitwears Limited","accord"
"DELMAS APPARELS (pvt) LIMITED","accord"
"Delta Clifton Textile & apparels","accord"
"Denim Expert Limited","accord"
"DENIM EXPERT LIMITED","accord"
"Denim Plus ( BD ) Ltd.","accord"
"Denimach","accord"
"Denison","accord"
"DESH SWEATER LTD","accord"
"Design Destination limited","accord"
"Designtex Fashions Ltd.","accord"
"Designtex Sweater Ltd.","accord"
"Desun Garments Ltd.","accord"
"Dew Fashion Ltd","accord"
"DGN Appraels Ltd","accord"
"DHAKA PULLOVER LTD.","accord"
"Diana Garments","accord"
"DICA TEX LTD","accord"
"Dica‐Tex Ltd","accord"
"Diganta Sweaters Ltd","accord"
"Digital Fashion","accord"
"Bangladesh)","accord"
"Dinatex International Ltd.","accord"
"Dip Knitwear Ltd.","accord"
"Dipta Garments Lts ‐ Unit of Dird Group","accord"
"Dird Composite Textiles Ltd.","accord"
"Disari Apparel Pvt.Ltd.","accord"
"Disari Industries Pvt.Ltd.","accord"
"Divine Design Ltd","accord"
"DIVINE TEXTILE LTD.","accord"
"DK Knitwear Ltd.","accord"
"DK Sweater Ltd.","accord"
"DK Textil Ltd., DK Knitwear Ltd.","accord"
"DK.Sweater LTD, Unit 110/2 Hazi Pear Prathomik Biddaloy Road, Baro","accord"
"DK.Sweater LTD, Unit 2Plot # 09, Road # 02, Shyampur I/A, Dhaka","accord"
"DNV Clothing","accord"
"Dody Exportwear Ltd","accord"
"Doreen Garments Ltd","accord"
"Dotcom Sweater Limited","accord"
"Dragon Sweaters Bangladesh Ltd","accord"
"DRAGONI FASHIONS LTD","accord"
"Dream Top (BD) Ltd.","accord"
"Dreamwears Ltd.","accord"
"GROUP)","accord"
"Dress Shirts Ltd.","accord"
"Dress up Ltd","accord"
"Dress World Ltd.","accord"
"Garments Ltd","accord"
"DRESSMEN FASHION WEAR LIMITED.","accord"
"DSL SWEATER LTD","accord"
"D‐Tex Limited","accord"
"Ducati Apparels Ltd.","accord"
"Duranto Knit Textiles","accord"
"Dynamic Fashoin Ltd","accord"
"Dynasty Sweaters (BD) Ltd","accord"
"DZ Garments Ltd.","accord"
"EAST WEST SERVICES LTD","accord"
"ECHOTEX LTD.","accord"
"EFA APPARELS LIMITED","accord"
"EH Fabrics Ltd","accord"
"Ehsan Fashion Ltd.","accord"
"Ehsan Gaments Ltd.","accord"
"Ekram Sweaters Ltd.","accord"
"ELEGANCE ORIENTAL LTD","accord"
"ELITE GARMENTS INDUSTRIES LTD.","accord"
"Emerald Dresses ltd","accord"
"Energypac Fashions Ltd","accord"
"Enrich Sweater","accord"
"Envoy Fashions Limited","accord"
"Epcot Apparels Ltd","accord"
"Epcot Jeans Ltd","accord"
"Epic Garments manufacturing Co Ltd","accord"
"EPOCH GARMENTS LTD","accord"
"Epyllion Knitex Ltd","accord"
"EPYLLION KNITWEARS LTD.","accord"
"EPYLLION STYLE LTD.","accord"
"Ershad Knit","accord"
"ESE Knitwear LTD.","accord"
"Esquire Knit Composite Ltd.","accord"
"Esses Fashions Ltd.","accord"
"Ethical Garments Ltd.","accord"
"Eton Fashions Ltd","accord"
"ETTADE JEANS LTD","accord"
"Euro Jeans Ltd","accord"
"Euro Washing Ltd.","accord"
"EUROTEX KNITWEAR LTD.","accord"
"Eurozone Fashion Ltd.","accord"
"Eve Garments","accord"
"Ever Fashion Tongi Ltd","accord"
"Ever Smart Bangladesh Ltd.","accord"
"Everbright sweaters ltd","accord"
"Everest Sweaters Ltd.","accord"
"EVITEX APPARELS LIMITED","accord"
"EVITEX FASHIONS LIMITED","accord"
"EWS","accord"
"Exensive fashion Ltd","accord"
"Experience Clothing Co.Ltd","accord"
"Faa Apparels Ltd.","accord"
"Fabin Apparels Ltd","accord"
"Fabulous Fashions Ltd.","accord"
"FAIR CHOICE GARMENTS LIMITED.","accord"
"FAIR WASHING LTD","accord"
"FAIRLON GARMENTS LIMITED","accord"
"Fakhruddin Textiles Mills Limited","accord"
"FAKIR APPARELS LTD.","accord"
"Fakir Apparels Ltd.","accord"
"Fakir Fashion","accord"
"FAKIR KNITWEARS LTD.","accord"
"Faltex Composite Limited","accord"
"FAME DESIGN LTD.","accord"
"Fame Knitwears Ltd.","accord"
"Fame Sweater Ltd.","accord"
"Familytex (BD) Ltd","accord"
"Fancy Fashion","accord"
"Far East Knitting & Dyeing Industries Ltd","accord"
"FARIHA KNIT TEX LTD.","accord"
"FARKANTEX LTD.","accord"
"Farmin Fashion Design Ltd.","accord"
"FARR CERAMICS LIMITED","accord"
"Farseeing knit composite Ltd","accord"
"Farzana Fashion World Ltd.","accord"
"Fashion 2000 Ltd","accord"
"Fashion Asia Ltd.","accord"
"Fashion Crafts & Design Ltd.","accord"
"Fashion Exposure Ltd","accord"
"FASHION FLASH LTD","accord"
"Fashion Forum","accord"
"Fashion Forum Limited (Ashulia)","accord"
"Fashion Forum Ltd","accord"
"Fashion Knit Garments Ltd (Pride)","accord"
"FASHION NETWORK LTD.","accord"
"Fashion Step Limited","accord"
"Fashion Suits and Trousers ltd","accord"
"Fashionit Co. Ltd.","accord"
"Fashionit Company","accord"
"Fashrobe Garments Ltd","accord"
"Fast Wear Ltd","accord"
"Fatullah Fashion ltd","accord"
"FCI (BD) Ltd.","accord"
"Fergasam (Bangadesh)","accord"
"FGS Denim Wear Ltd","accord"
"Fgs Knit Wear Ltd.","accord"
"Fiat Fashion Ltd","accord"
"Fin Fashion Ltd","accord"
"FINE STITCH APPRAELS LTD","accord"
"Finetex Knittwear ltd","accord"
"FIRST WEAR LIMITED.","accord"
"Florence Fashions Ltd","accord"
"Florescent Apparels","accord"
"Foptex (Pvt.) Ltd.","accord"
"Fortis Garments Ltd","accord"
"Fountain Garments Manufactorin","accord"
"Four Brothers Fashion","accord"
"FOUR DESIGN (PVT.) LTD.","accord"
"Four H Apparels Ltd.","accord"
"Four H Fashions Ltd.","accord"
"Four H Intimates Ltd","accord"
"Four H Lingerie Ltd.","accord"
"FOUR WING LIMITED","accord"
"Freedom Knitwear Ltd.","accord"
"French Fashions Knitting Pvt. Ltd.","accord"
"Fresh Fashion Wear","accord"
"LIMITED","accord"
"Friends Stylewear Ltd.","accord"
"FUNNY SWEATER LTD","accord"
"Future Clothing Ltd.","accord"
"Fyne Sweaters Ltd.","accord"
"G. K. Garments Ltd..","accord"
"Garib & Garib Company Ltd","accord"
"GARIB&GARIB COMPONY LTD.","accord"
"GARMENTS EXPORT VILLAGE LTD","accord"
"Gartex Garments Ltd.","accord"
"Gazipur Fashion ltd","accord"
"Geebee (Bangladesh) Limited","accord"
"Generation Next Fashions Ltd","accord"
"Genesis Fashions Ltd.","accord"
"GH HAEWAE CO LTD","accord"
"Giant Apparel Ltd","accord"
"Giant Knit","accord"
"GIVENSEE GARMENTS LTD.","accord"
"Global Apparel Sourcing Group LTD","accord"
"Global Apparels Ltd.","accord"
"Global Fashion Garments Ltd.","accord"
"Global Garments Ltd.","accord"
"GLOBAL KNITTWEAR","accord"
"Global Knitwear Ltd.","accord"
"Global Merchant Ltd. (Tulip)","accord"
"Global Merchants","accord"
"Global Outerwear Ltd.","accord"
"Global Shirts Ltd.","accord"
"Global Specialised Garments Ltd ‐1Hazra Complex, 52 Sadarghat Road","accord"
"Global Specialised Garments Ltd. Unit‐02","accord"
"Global Trousers Ltd.","accord"
"GLOBAL Wisdom International Limited.","accord"
"GLOBAL Wisdom International Limited.","accord"
"Globus Garments Ltd.","accord"
"Glory Dresses ltd","accord"
"Glory Fashion Wear Limited","accord"
"GLORY FASHIONS LTD","accord"
"Glory Industries ltd","accord"
"GMS Composite","accord"
"LTD","accord"
"Gold Star Fashions Ltd","accord"
"Gold Star Garment Ltd","accord"
"Golden Heights Ltd.","accord"
"Golden Horizon Ltd.","accord"
"Golden Refit Garments Ltd.","accord"
"GOLDEN TIMES SWEATER & DYEING LTD.","accord"
"Goldland International Ltd.","accord"
"Goldstar Garments LTD","accord"
"Goldtex Garments Ltd","accord"
"Good Rich Sweaters Ltd","accord"
"GOORYONG FASHIONS LTD.","accord"
"Gourmati Knitwear","accord"
"GOUS FASHION INDUSTRIES LTD.","accord"
"Grameen Knitwear Ltd","accord"
"Gramtech","accord"
"Ind. Ltd.","accord"
"Graphics Textiles Ltd.","accord"
"Green leaf Apparels ltd.","accord"
"Green Life Group Clothing Ltd.","accord"
"Green Life Knittex Ltd.","accord"
"Green Sotne Sweater","accord"
"Greenland Garments Ltd. Unit‐01,","accord"
"Greenland Garments Ltd. Unit‐02,","accord"
"GREENLIFE KNIT COMPOSITE LTD","accord"
"Greenstone Knitwear Limited","accord"
"Gulf Knitting & Textiles","accord"
"H.B. Fashions Ltd.","accord"
"H.R. Textile Mills Ltd","accord"
"Haesong Corporation Limited","accord"
"Haesong Korea","accord"
"Haesong Sweater Limited","accord"
"Hamid Sweaters Ltd.","accord"
"Hamid Tex Fashion Ltd.","accord"
"HAMS GARMENTS LTD.","accord"
"Hams Washing Ind Ltd,","accord"
"Hamza Textiles Ltd.","accord"
"Hanaro Fashion Ltd","accord"
"HANARO FASHIONS LTD","accord"
"Hannan Fashions","accord"
"Hannan Fashion's Ltd.","accord"
"Hannan Knit & Textiles Ltd.","accord"
"Harrods Knitwear","accord"
"Harry Fashions Ltd","accord"
"Haseen Knit Composite Ltd.","accord"
"HASHMATULLAH KNIT WEARS LTD.","accord"
"Hdf Apparels Limited","accord"
"Helicon Ltd","accord"
"Hemple Rehee Mfg Co.(Bd) Ltd","accord"
"HI APPARELS","accord"
"Hi‐Fashion Composite textiles Ltd.","accord"
"HI‐FASHION LIMITED","accord"
"HKD INTERNATIONAL (CEPZ) LIMITED","accord"
"Home Textiles Ltd","accord"
"HONEYWELL GARMENTS LTD","accord"
"Hongkong Denim Ltd","accord"
"Hop Lun (Bangladesh) Ltd.","accord"
"Hop Lun Apparel Ltd","accord"
"Hop Yick (Bangladesh) limited","accord"
"Horizon Fashion wear ltd","accord"
"Hornbill Apparels Ltd.","accord"
"Hot Dress Limited","accord"
"Hotapara Garments Ltd:","accord"
"Hydroxide Knitwear Ltd.","accord"
"Hypoid Composite Knit Ltd.","accord"
"Godnyle)","accord"
"Dhakessary, Godnail)","accord"
"Ibrahim Knit Garments (Pvt.) Ltd.","accord"
"ICCL","accord"
"IFS TEXWARE","accord"
"Ind's Ltd.","accord"
"Impress Newtex Composite Textile Ltd.","accord"
"Indesore Embroidery Ltd","accord"
"Indesore Sweater Factory","accord"
"INDIGO FASHIONS LTD","accord"
"Intercare Limited","accord"
"Interfab Shirt Mfg Co","accord"
"Interlink Apparels","accord"
"Interlink Dresses","accord"
"INTERLOOP BD LTD","accord"
"LIMITED (UNIT‐1)","accord"
"International Classic Composite Ltd","accord"
"(Unit 2)","accord"
"International Trading Services Ltd","accord"
"INTERSTOFF APPARELS LIMITED","accord"
"INTERSTOFF APPARELS LTD.","accord"
"Interstoff Clothing Ltd.","accord"
"INTIMATE APPARELS LTD","accord"
"Intraco design Ltd","accord"
"Intraco Sweaters Ltd.","accord"
"Intramex Knitwear Ltd","accord"
"Iqbal Texware Ltd.","accord"
"Irene Knitwear ltd","accord"
"IRIS FABRICS LIMITED","accord"
"Iris Fashions Ltd.","accord"
"Ishaqpur Sweater Industries Ltd","accord"
"ISLAM GARMENTS LIMITED (UNIT‐2)","accord"
"Islam Knit Designs Ltd.","accord"
"J M FABRICS","accord"
"J.K SHIRT & FABRIC LIMITED","accord"
"J.K. KNIT COMPOSITE LIMITED","accord"
"J.L Fashions ltd","accord"
"Jalal Ahmed Knit Composite Ltd.","accord"
"Jams Apparels (PVT) LTD.","accord"
"Jamuna Apparels Ltd.","accord"
"Jamuna Denims Ltd.","accord"
"Jamuna Fashion Wears Ltd.","accord"
"Jamuna Knit Concern","accord"
"Jamuna Knitting & Dyeing Ltd","accord"
"Jamuna Knitting & Dyeing Ltd.","accord"
"Jann Composite Mills Ltd.","accord"
"Jay Jay Mills ( Bangladesh ) Pvt Ltd, Unit‐1Unit‐1, DS‐3 & FS‐1, Road No.2, CEPZ,Chittagong Chittagong","accord"
"Jay Jay Mills ( Bangladesh ) Pvt Ltd, Unit‐3Unit‐3, Plot No.9‐11 & 2‐4, Sector‐7/A, CEPZ,","accord"
"Jaya Knitting Limited","accord"
"Jaycee's Apparels","accord"
"JC Pozitif Tekstil SSection Seven Ltd. Plot# 21‐26, Sector# 3 Road‐4","accord"
"JCK International Trading.","accord"
"JEACON","accord"
"Jeans 2000 Ltd","accord"
"JEANS APPARELS LIMITED","accord"
"JEANS CARE LIMITED","accord"
"Jeans Express Ltd.","accord"
"Jeans Manufacturing Co. Ltd.","accord"
"JEANS PLUS LTD.","accord"
"Jerat Fashion Ltd.","accord"
"Jericho Imex Ltd","accord"
"Jerkin Wear","accord"
"JINNAT APPARELS LTD.","accord"
"Jinnat Fashion & Knitwears Ltd","accord"
"Jiz Textile LTD","accord"
"Jk Knit Composite Ltd,","accord"
"JL SWEATER LIMITED","accord"
"JM Fabrics Ltd.","accord"
"JMS GARMENTS LTD.","accord"
"Joint Garments Ltd.","accord"
"JOOWON GLOBAL FASHION (BD) LTD","accord"
"Jovian Sweater Ltd.","accord"
"JP Garments Ltd.","accord"
"Jupiter R.G. Ltd.","accord"
"JUST WEST","accord"
"K.B Apparels Ltd.","accord"
"K.Morium Garments Ltd.","accord"
"KAC Fashion Wear Ltd","accord"
"Kalam Sweater Limited","accord"
"Kamtex Limited.","accord"
"Kang Book Co.,(Bd) Ltd","accord"
"Kaniz Fashions Ltd.","accord"
"Kappa Fashion Wear Ltd.","accord"
"KARIM FASHION","accord"
"KARIM TEXTILES LIMITED","accord"
"Karnaphuli Knit Wear Ltd.","accord"
"Karnaphuli Shoes Industries Ltd","accord"
"KAROONI KNIT COMPOSITE LIMITED","accord"
"Karotoa Apparels Ltd","accord"
"Kattali Textile Ltd.","accord"
"Kayaba Knitwear","accord"
"KC Lingerie","accord"
"KDS Apparels Ltd.","accord"
